,number,value,datetime_start,datetime_complete,params_learning_rate,params_max_depth,params_n_estimators,state
0,0,0.9345925966020804,2020-06-18 23:57:15.903366,2020-06-19 00:12:22.458641,0.12548189471387522,20,40,COMPLETE
1,1,0.9345679728669024,2020-06-19 00:12:22.459445,2020-06-19 00:22:28.929621,0.13013811737575148,11,54,COMPLETE
2,2,0.9204057490515579,2020-06-19 00:22:28.930404,2020-06-19 00:29:14.201786,0.08703729557439102,10,39,COMPLETE
3,3,0.9385316283895442,2020-06-19 00:29:14.202643,2020-06-19 00:49:15.231703,0.08689591128582838,16,71,COMPLETE
4,4,0.9401763563076546,2020-06-19 00:49:15.232715,2020-06-19 01:00:49.784136,0.17167675875071176,13,52,COMPLETE
5,5,0.9263449238825439,2020-06-19 01:00:49.785120,2020-06-19 01:05:32.791835,0.18220812658712898,11,24,COMPLETE
6,6,0.9173912820554758,2020-06-19 01:05:32.792841,2020-06-19 01:09:32.922437,0.17617316023241714,17,12,COMPLETE
7,7,0.9392107216701462,2020-06-19 01:09:32.923569,2020-06-19 01:27:50.893745,0.10477559988811141,12,91,COMPLETE
8,8,0.9392208398575846,2020-06-19 01:27:50.894833,2020-06-19 01:44:13.430976,0.1033811992605438,12,81,COMPLETE
9,9,0.9412398822993246,2020-06-19 01:44:13.432277,2020-06-19 02:06:21.111510,0.195946144815073,16,81,COMPLETE
10,10,0.9422981252861357,2020-06-19 02:06:21.112868,2020-06-19 02:39:09.720056,0.19747535645163877,19,99,COMPLETE
11,11,0.9426140282081306,2020-06-19 02:39:09.721370,2020-06-19 03:11:10.331211,0.19888497441128977,19,97,COMPLETE
12,12,0.9413251307868211,2020-06-19 03:11:10.332607,2020-06-19 03:46:33.905299,0.15219813758762293,20,100,COMPLETE
13,13,0.9417941889283016,2020-06-19 03:46:33.906857,2020-06-19 04:17:35.340173,0.1978863786077552,18,100,COMPLETE
14,14,0.9313736176083202,2020-06-19 04:17:35.341814,2020-06-19 04:41:58.176543,0.053544151881325774,19,69,COMPLETE
15,15,0.9402986702014772,2020-06-19 04:41:58.209822,2020-06-19 05:13:16.004591,0.15050360241153157,18,100,COMPLETE
16,16,0.9418476225634411,2020-06-19 05:13:16.008258,2020-06-19 05:33:28.060140,0.1980971975488419,14,86,COMPLETE
17,17,0.9415793250967782,2020-06-19 05:33:28.062030,2020-06-19 05:58:18.772021,0.1586212413067066,20,69,COMPLETE
18,18,0.9426907550919665,2020-06-19 05:58:18.773987,2020-06-19 06:27:04.452504,0.185177625136651,18,92,COMPLETE
19,19,0.94305707371635,2020-06-19 06:27:04.454348,2020-06-19 06:49:27.340998,0.1674796233794853,15,88,COMPLETE
20,20,0.9394195042049214,2020-06-19 06:49:27.342887,2020-06-19 07:08:59.599670,0.13956945628778378,15,76,COMPLETE
21,21,0.9425885932007079,2020-06-19 07:08:59.601764,2020-06-19 07:36:03.177896,0.183501953796398,17,93,COMPLETE
22,22,0.9425494898785025,2020-06-19 07:36:03.179945,2020-06-19 07:59:06.957510,0.16572467786185233,15,91,COMPLETE
23,23,0.9416018719750092,2020-06-19 07:59:06.959801,2020-06-19 08:25:18.454952,0.18582759016103778,18,84,COMPLETE
24,24,0.9411953921294132,2020-06-19 08:25:18.457123,2020-06-19 08:46:44.628418,0.16674547264843154,19,63,COMPLETE
25,25,0.9416656444636381,2020-06-19 08:46:44.630631,2020-06-19 09:13:51.337838,0.18614921494209324,17,93,COMPLETE
26,26,0.942319010678809,2020-06-19 09:13:51.340113,2020-06-19 09:34:52.967075,0.14114199768870708,16,76,COMPLETE
