,number,value,datetime_start,datetime_complete,params_learning_rate,params_max_depth,params_n_estimators,state
0,0,0.9189317807998225,2020-06-18 23:56:56.390064,2020-06-19 00:06:41.168149,0.144721391036864,19,25,COMPLETE
1,1,0.8973406116624802,2020-06-19 00:06:41.168913,2020-06-19 00:10:50.384232,0.1045316534024164,11,19,COMPLETE
2,2,0.9053064197203444,2020-06-19 00:10:50.385013,2020-06-19 00:19:33.565146,0.07552339696182728,19,22,COMPLETE
3,3,0.9325479551122514,2020-06-19 00:19:33.565895,2020-06-19 00:38:10.492861,0.12082078216525982,15,66,COMPLETE
4,4,0.934670843784222,2020-06-19 00:38:10.493918,2020-06-19 01:05:45.380719,0.1511249146114717,19,75,COMPLETE
5,5,0.9289406430179705,2020-06-19 01:05:45.381670,2020-06-19 01:17:24.800721,0.18443684721553377,14,44,COMPLETE
6,6,0.9311884039505809,2020-06-19 01:17:24.801712,2020-06-19 01:53:48.780297,0.08823594773632995,20,92,COMPLETE
7,7,0.9296366008630592,2020-06-19 01:53:48.781562,2020-06-19 02:08:15.926161,0.13458397440051834,14,55,COMPLETE
8,8,0.9262157500193335,2020-06-19 02:08:15.927323,2020-06-19 02:38:15.817121,0.052023291259274435,17,91,COMPLETE
9,9,0.9269293735656501,2020-06-19 02:38:15.818336,2020-06-19 02:46:54.418853,0.17643519241868172,11,42,COMPLETE
10,10,0.9353037292024208,2020-06-19 02:46:54.420186,2020-06-19 03:11:03.101494,0.16441372618041952,17,75,COMPLETE
11,11,0.9335256078495954,2020-06-19 03:11:03.102840,2020-06-19 03:34:58.160673,0.1584222240209487,17,74,COMPLETE
12,12,0.9353376675295448,2020-06-19 03:34:58.162104,2020-06-19 04:00:45.385963,0.1971171064838653,17,81,COMPLETE
13,13,0.9353729763415899,2020-06-19 04:00:45.387423,2020-06-19 04:32:14.920979,0.1911059732420907,17,100,COMPLETE
14,14,0.934482010540535,2020-06-19 04:32:14.922528,2020-06-19 05:01:06.112395,0.19339530143865846,16,98,COMPLETE
15,15,0.9361641602982417,2020-06-19 05:01:06.127175,2020-06-19 05:29:53.202852,0.19812615366531758,18,85,COMPLETE
16,16,0.935827118899582,2020-06-19 05:29:53.206944,2020-06-19 06:08:08.099058,0.17473619168347865,20,100,COMPLETE
17,17,0.935346191644545,2020-06-19 06:08:08.100879,2020-06-19 06:41:21.168601,0.1671055019663228,20,86,COMPLETE
18,18,0.9327154780684385,2020-06-19 06:41:21.170451,2020-06-19 07:06:09.654722,0.17682595920550667,20,64,COMPLETE
19,19,0.9346672368486347,2020-06-19 07:06:09.656705,2020-06-19 07:39:28.564825,0.198931091739179,18,99,COMPLETE
20,20,0.9310132755560987,2020-06-19 07:39:28.566832,2020-06-19 08:09:09.084072,0.12793562628455207,18,87,COMPLETE
21,21,0.9316711384384799,2020-06-19 08:09:09.086075,2020-06-19 08:42:46.507079,0.1858846502858095,18,100,COMPLETE
22,22,0.9357622844206512,2020-06-19 08:42:46.509130,2020-06-19 09:09:54.774091,0.19989378463891924,15,99,COMPLETE
23,23,0.9322433158927833,2020-06-19 09:09:54.776210,2020-06-19 09:32:06.310925,0.17317066431978895,13,94,COMPLETE
24,24,0.937456384505659,2020-06-19 09:32:06.313102,2020-06-19 09:50:14.308691,0.18501904534368527,12,83,COMPLETE
25,25,0.932377608354717,2020-06-19 09:50:14.324957,2020-06-19 10:08:14.060687,0.15145312699381377,12,82,COMPLETE
26,26,0.9314524256114716,2020-06-19 10:08:14.063010,2020-06-19 10:20:30.440310,0.1831877101498747,10,67,COMPLETE
27,27,0.9281095041547907,2020-06-19 10:20:30.444460,2020-06-19 10:30:52.551051,0.16174162750262272,10,56,COMPLETE
28,28,0.932335725733136,2020-06-19 10:30:52.554835,2020-06-19 10:50:10.667850,0.1401469994719553,13,81,COMPLETE
29,29,0.9281680208488409,2020-06-19 10:50:10.670572,2020-06-19 11:06:38.519088,0.11240805160311802,19,43,COMPLETE
30,30,0.9343173264459688,2020-06-19 11:06:38.521674,2020-06-19 11:32:41.575500,0.19914769529881113,16,88,COMPLETE
31,31,0.9346461524652426,2020-06-19 11:32:41.578286,2020-06-19 11:58:17.752913,0.19901766121797818,15,93,COMPLETE
32,32,0.9344349170642016,2020-06-19 11:58:17.756182,2020-06-19 12:20:03.355106,0.18834943723243375,12,100,COMPLETE
33,33,0.9338276416416873,2020-06-19 12:20:03.358016,2020-06-19 12:41:52.868017,0.17429885783240412,14,85,COMPLETE
34,34,0.9339128526711391,2020-06-19 12:41:52.871053,2020-06-19 13:09:59.394363,0.18385515160561552,16,95,COMPLETE
35,35,0.9347262731221324,2020-06-19 13:09:59.397350,2020-06-19 13:38:05.169958,0.15295320917217436,19,77,COMPLETE
36,36,0.9317422831721546,2020-06-19 13:38:05.173093,2020-06-19 13:57:50.383090,0.17081773195073327,15,71,COMPLETE
37,37,0.9256237231240941,2020-06-19 13:57:50.386184,2020-06-19 14:05:07.759267,0.19893235419475921,11,35,COMPLETE
38,38,0.9330563146561088,2020-06-19 14:05:07.762583,2020-06-19 14:19:58.234732,0.18090565323098098,13,62,COMPLETE
39,39,0.9304364369470386,2020-06-19 14:19:58.238139,2020-06-19 14:55:22.038457,0.08272718849806734,20,89,COMPLETE
40,40,0.9325287080822691,2020-06-19 14:55:22.056070,2020-06-19 15:30:26.393191,0.09966426531029879,19,95,COMPLETE
41,41,0.9343919877535878,2020-06-19 15:30:26.399453,2020-06-19 15:59:50.331624,0.19130685682244727,16,100,COMPLETE
42,42,0.9350170870102051,2020-06-19 15:59:50.335149,2020-06-19 16:32:29.510444,0.1902332815559352,18,97,COMPLETE
43,43,0.9267561427656732,2020-06-19 16:32:29.513876,2020-06-19 16:58:16.749202,0.05736772418962896,15,91,COMPLETE
